"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"2","1.013917","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"3","2.037034","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"4","3.137961","10.0.0.2","10.0.0.16","ICMP","98","Echo (ping) request  id=0x1e6e, seq=1/256, ttl=64 (reply in 5)"
"5","3.137990","10.0.0.16","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x1e6e, seq=1/256, ttl=64 (request in 4)"
"6","3.363908","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.2"
"7","4.373531","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.2"
"8","5.396927","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.2"
"9","6.424678","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"10","7.444784","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"11","8.149137","66:88:64:ea:ef:90","de:f8:33:9c:34:b9","ARP","42","Who has 10.0.0.16? Tell 10.0.0.2"
"12","8.149144","de:f8:33:9c:34:b9","66:88:64:ea:ef:90","ARP","42","10.0.0.16 is at de:f8:33:9c:34:b9"
