"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","guillermo-VirtualBox.local","10.0.0.1","ICMP","98","Echo (ping) request  id=0x0009, seq=1/256, ttl=64 (no response found!)"
"2","0.446309","guillermo-VirtualBox.local","mynetwork","DNS","82","Standard query 0x0849 PTR 15.2.0.10.in-addr.arpa"
"3","0.447983","guillermo-VirtualBox.local","mynetwork","DNS","81","Standard query 0x42b1 PTR 1.0.0.10.in-addr.arpa"
"4","0.455626","mynetwork","guillermo-VirtualBox.local","DNS","81","Standard query response 0x42b1 No such name PTR 1.0.0.10.in-addr.arpa"
"5","0.455626","mynetwork","guillermo-VirtualBox.local","DNS","82","Standard query response 0x0849 No such name PTR 15.2.0.10.in-addr.arpa"
"6","1.446121","guillermo-VirtualBox.local","mynetwork","DNS","84","Standard query 0xc451 PTR 1.2.168.192.in-addr.arpa"
"7","1.458070","mynetwork","guillermo-VirtualBox.local","DNS","107","Standard query response 0xc451 PTR 1.2.168.192.in-addr.arpa PTR mynetwork"
"8","5.204667","guillermo-VirtualBox.local","_gateway","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"9","5.204912","_gateway","guillermo-VirtualBox.local","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"10","6.446629","guillermo-VirtualBox.local","mynetwork","DNS","81","Standard query 0x87c1 PTR 2.2.0.10.in-addr.arpa"
"11","6.457838","mynetwork","guillermo-VirtualBox.local","DNS","81","Standard query response 0x87c1 No such name PTR 2.2.0.10.in-addr.arpa"
