"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.22","ICMP","98","Echo (ping) request  id=0xcfa3, seq=1/256, ttl=64 (reply in 2)"
"2","0.000028","10.0.0.22","10.0.0.1","ICMP","98","Echo (ping) reply    id=0xcfa3, seq=1/256, ttl=64 (request in 1)"
"3","0.339367","10.0.0.2","10.0.0.22","ICMP","98","Echo (ping) request  id=0x5472, seq=1/256, ttl=64 (reply in 4)"
"4","0.339382","10.0.0.22","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x5472, seq=1/256, ttl=64 (request in 3)"
"5","0.786133","10.0.0.3","10.0.0.22","ICMP","98","Echo (ping) request  id=0x3b5b, seq=1/256, ttl=64 (reply in 6)"
"6","0.786150","10.0.0.22","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x3b5b, seq=1/256, ttl=64 (request in 5)"
"7","1.152414","10.0.0.4","10.0.0.22","ICMP","98","Echo (ping) request  id=0x58f7, seq=1/256, ttl=64 (reply in 8)"
"8","1.152434","10.0.0.22","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x58f7, seq=1/256, ttl=64 (request in 7)"
"9","1.527006","10.0.0.5","10.0.0.22","ICMP","98","Echo (ping) request  id=0x3023, seq=1/256, ttl=64 (reply in 10)"
"10","1.527026","10.0.0.22","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x3023, seq=1/256, ttl=64 (request in 9)"
